ID,Severity,Start_Time,End_Time,Street,City,State,Country,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition
A-1,3,2016-02-08 05:46:00,2016-02-08 11:00:00,I-70 E,Dayton,OH,US,36.9,32.7,91.0,29.68,10.0,Calm,3.4875,Light Rain
A-2,2,2016-02-08 06:07:59,2016-02-08 06:37:59,Brice Rd,Reynoldsburg,OH,US,37.9,32.7,100.0,29.65,10.0,Calm,3.4875,Light Rain
A-3,2,2016-02-08 06:49:27,2016-02-08 07:19:27,State Route 32,Williamsburg,OH,US,36.0,33.3,100.0,29.67,10.0,SW,3.5,Overcast
A-4,3,2016-02-08 07:23:34,2016-02-08 07:53:34,I-75 S,Dayton,OH,US,35.1,31.0,96.0,29.64,9.0,SW,4.6,Mostly Cloudy
A-5,2,2016-02-08 07:39:07,2016-02-08 08:09:07,Miamisburg Centerville Rd,Dayton,OH,US,36.0,33.3,89.0,29.65,6.0,SW,3.5,Mostly Cloudy
A-6,3,2016-02-08 07:44:26,2016-02-08 08:14:26,Westerville Rd,Westerville,OH,US,37.9,35.5,97.0,29.63,7.0,SSW,3.5,Light Rain
A-7,2,2016-02-08 07:59:35,2016-02-08 08:29:35,N Woodward Ave,Dayton,OH,US,34.0,31.0,100.0,29.66,7.0,WSW,3.5,Overcast
A-8,3,2016-02-08 07:59:58,2016-02-08 08:29:58,N Main St,Dayton,OH,US,34.0,31.0,100.0,29.66,7.0,WSW,3.5,Overcast
A-9,2,2016-02-08 08:00:40,2016-02-08 08:30:40,Notre Dame Ave,Dayton,OH,US,33.3,32.7,99.0,29.67,5.0,SW,1.2,Mostly Cloudy
A-10,3,2016-02-08 08:10:04,2016-02-08 08:40:04,Westerville Rd,Westerville,OH,US,37.4,33.8,100.0,29.62,3.0,SSW,4.6,Light Rain
